周五就躺平吧,friday
Show me the money,
励志的一天，死人微活,
天气不错，出门晒晒我的尸体,
周末了，出来活动活动尸骨,
赠人美鲑，手有鱼香肉丝,
看看床底下有没有脏袜子,
卷王上班如坟头蹦迪,
不好好捣鼓配置，写什么代码,
三岁看老，睡眠质量都不好,
婴儿般的睡眠，半夜蹦迪邻居嫌,
生活质量的巨大提升，来自于小娃戒尿布,
少壮不努力，老大竟刷题,
父爱如山，刷机成砖,
多锻炼身体，才能躺下睡觉不腰疼,
开会时关掉摄像头说明在打游戏，勿扰,
烫烫烫烫c++新手烫烫烫烫,
(((( lisp大佬 )))),
$$$$$php大佬$$$$$,
<script>js大佬</script>,
⎵⎵⎵⎵python大佬⎵⎵⎵⎵,
:^[[A^[[A^ vi大牢 ^[[B^[[D,
Java大小大小大小大佬.class,
CAST(我 AS SQL大佬),
p {font-family: css大佬},
新来的贝斯手，帮我搬这个底鼓谢谢,
养儿方知父母当年多轻松,
养儿防老花眼,
Squeeze lemon law,
珍惜水平不高并且不作妖的垫底同事,
从贝多芬开始了解摇滚乐,
生性薄盐酱油,
打不过就跑，跑不过就打,
临危不惧，再艰险的环境都能稳定迷路,
要我集齐111颗龙珠，不早说是二进制,
小朋友做客，点奶酪比萨饼错不了,
LLM跟我说，学LLM好找工作,
RDFM,
您拨打的用户正在狡辩中，请稍后再拨,
凌波微步，快乐的舞步,
你说我扎眼，我说你扎心,
走上人生巅峰，迎娶出柜拉黑大礼包,
光明是生活，黑暗才是舒适区,
只求如同茄子吸油一般吸收新知识,
If you're happy and you know it'll end,
开心让我焦虑，焦虑使我安心,
请勿伤口撒盐，我低盐饮食,
